Dataset,Split,Event ID,Event description,Number of positive triples
Dataset 1,train,dataset1_train_036,#Drug1 may increase the hyponatremic activities of #Drug2.,118
Dataset 1,train,dataset1_train_037,#Drug1 may increase the nephrotoxic activities of #Drug2.,664
Dataset 1,train,dataset1_train_038,#Drug1 may decrease the cardiotoxic activities of #Drug2.,1043
Dataset 1,train,dataset1_train_039,#Drug1 may increase the hypotensive activities of #Drug2.,8397
Dataset 1,train,dataset1_train_040,#Drug1 may decrease the stimulatory activities of #Drug2.,498
Dataset 1,train,dataset1_train_041,#Drug1 may increase the serotonergic activities of #Drug2.,803
Dataset 1,train,dataset1_train_042,The risk or severity of bleeding can be increased when #Drug1 is combined with #Drug2.,128
Dataset 1,train,dataset1_train_043,#Drug1 can cause a decrease in the absorption of #Drug2 resulting in a reduced serum concentration and potentially a decrease in efficacy.,930
Dataset 1,train,dataset1_train_044,#Drug1 may increase the analgesic activities of #Drug2.,280
Dataset 1,train,dataset1_train_045,The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.,7786
Dataset 1,train,dataset1_train_046,#Drug1 may increase the hypertensive activities of #Drug2.,673
Dataset 1,train,dataset1_train_047,#Drug1 may decrease the excretion rate of #Drug2 which could result in a higher serum level.,1825
Dataset 1,train,dataset1_train_048,The serum concentration of #Drug2 can be increased when it is combined with #Drug1.,23779
Dataset 1,train,dataset1_train_049,#Drug1 may increase the fluid retaining activities of #Drug2.,422
Dataset 1,train,dataset1_train_050,The serum concentration of #Drug2 can be decreased when it is combined with #Drug1.,9470
Dataset 1,train,dataset1_train_051,#Drug1 may decrease the sedative activities of #Drug2.,558
Dataset 1,train,dataset1_train_052,The serum concentration of the active metabolites of #Drug2 can be increased when #Drug2 is used in combination with #Drug1.,538
Dataset 1,train,dataset1_train_053,#Drug1 may increase the hepatotoxic activities of #Drug2.,64
Dataset 1,train,dataset1_train_054,#Drug1 may increase the thrombogenic activities of #Drug2.,108
Dataset 1,train,dataset1_train_055,#Drug1 may increase the arrhythmogenic activities of #Drug2.,355
Dataset 1,train,dataset1_train_056,#Drug1 may increase the hypokalemic activities of #Drug2.,1204
Dataset 1,train,dataset1_train_057,#Drug1 may increase the vasopressor activities of #Drug2.,65
Dataset 1,train,dataset1_train_058,#Drug1 may increase the tachycardic activities of #Drug2.,372
Dataset 1,dev,dataset1_dev_001,#Drug1 may decrease the vasoconstricting activities of #Drug2.,309
Dataset 1,dev,dataset1_dev_002,#Drug1 may increase the antihypertensive activities of #Drug2.,629
Dataset 1,dev,dataset1_dev_003,#Drug1 may decrease the bronchodilatory activities of #Drug2.,361
Dataset 1,dev,dataset1_dev_004,#Drug1 may increase the neuromuscular blocking activities of #Drug2.,428
Dataset 1,dev,dataset1_dev_005,#Drug1 may increase the hyperkalemic activities of #Drug2.,278
Dataset 1,test,dataset1_test_001,#Drug1 may increase the ototoxic activities of #Drug2.,21
Dataset 1,test,dataset1_test_002,The absorption of #Drug2 can be decreased when combined with #Drug1.,45
Dataset 1,test,dataset1_test_003,#Drug1 may increase the vasodilatory activities of #Drug2.,33
Dataset 1,test,dataset1_test_004,#Drug1 may decrease effectiveness of #Drug2 as a diagnostic agent.,33
Dataset 1,test,dataset1_test_005,#Drug1 may increase the bronchoconstrictory activities of #Drug2.,26
Dataset 1,test,dataset1_test_006,The risk or severity of heart failure can be increased when #Drug2 is combined with #Drug1.,26
Dataset 1,test,dataset1_test_007,The risk or severity of hypotension can be increased when #Drug1 is combined with #Drug2.,33
Dataset 1,test,dataset1_test_008,#Drug1 may increase the ulcerogenic activities of #Drug2.,43
Dataset 1,test,dataset1_test_009,#Drug1 may increase the myelosuppressive activities of #Drug2.,34
Dataset 1,test,dataset1_test_010,#Drug1 may increase the excretion rate of #Drug2 which could result in a lower serum level and potentially a reduction in efficacy.,32
Dataset 1,test,dataset1_test_011,#Drug1 may increase the hyperglycemic activities of #Drug2.,28
Dataset 1,test,dataset1_test_012,#Drug1 may increase the central nervous system depressant (CNS depressant) and hypertensive activities of #Drug2.,27
Dataset 1,test,dataset1_test_013,The risk of a hypersensitivity reaction to #Drug2 is increased when it is combined with #Drug1.,27
Dataset 1,test2,dataset1_test2_001,#Drug1 may increase the photosensitizing activities of #Drug2.,11
Dataset 1,test2,dataset1_test2_002,#Drug1 may decrease the antiplatelet activities of #Drug2.,7
Dataset 1,test2,dataset1_test2_003,#Drug1 may increase the dermatologic adverse activities of #Drug2.,11
Dataset 1,test2,dataset1_test2_004,The risk or severity of hypertension can be increased when #Drug2 is combined with #Drug1.,14
Dataset 1,test2,dataset1_test2_005,#Drug1 may increase the hypotensive and central nervous system depressant (CNS depressant) activities of #Drug2.,14
Dataset 1,test2,dataset1_test2_006,The risk or severity of hyperkalemia can be increased when #Drug1 is combined with #Drug2.,6
Dataset 1,test2,dataset1_test2_007,The protein binding of #Drug2 can be decreased when combined with #Drug1.,11
Dataset 1,test2,dataset1_test2_008,#Drug1 may increase the central neurotoxic activities of #Drug2.,13
Dataset 1,test2,dataset1_test2_009,#Drug1 may decrease the analgesic activities of #Drug2.,10
Dataset 1,test2,dataset1_test2_010,The bioavailability of #Drug2 can be increased when combined with #Drug1.,11
Dataset 2,train,dataset2_train_001,the anticoagulant activities increase,454
Dataset 2,train,dataset2_train_002,The risk or severity of bleeding and hemorrhage increase,1005
Dataset 2,train,dataset2_train_003,The risk or severity of bleeding increase,2171
Dataset 2,train,dataset2_train_004,The therapeutic efficacy increase,3751
Dataset 2,train,dataset2_train_005,the anticoagulant activities decrease,378
Dataset 2,train,dataset2_train_006,The therapeutic efficacy decrease,12447
Dataset 2,train,dataset2_train_007,The risk or severity of adverse effects increase,34518
Dataset 2,train,dataset2_train_008,the antihypertensive activities decrease,5257
Dataset 2,train,dataset2_train_009,The risk or severity of hypertension increase,4904
Dataset 2,train,dataset2_train_010,the excretion rate which could result in a higher serum level decrease,37701
Dataset 2,train,dataset2_train_011,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy increase,4463
Dataset 2,train,dataset2_train_012,the hypertensive activities increase,418
Dataset 2,train,dataset2_train_013,the immunosuppressive activities increase,600
Dataset 2,train,dataset2_train_014,The serum concentration increase,16588
Dataset 2,train,dataset2_train_015,The excretion decrease,2339
Dataset 2,train,dataset2_train_016,The serum concentration decrease,4207
Dataset 2,train,dataset2_train_017,the neurotoxic activities increase,317
Dataset 2,train,dataset2_train_018,The metabolism increase,26509
Dataset 2,train,dataset2_train_019,The metabolism decrease,100725
Dataset 2,train,dataset2_train_020,a decrease in the absorption resulting in a reduced serum concentration and potentially a decrease in efficacy cause,753
Dataset 2,train,dataset2_train_021,The risk or severity of hyperkalemia increase,2835
Dataset 2,train,dataset2_train_022,The risk or severity of myopathy rhabdomyolysis and myoglobinuria increase,1328
Dataset 2,train,dataset2_train_023,The risk or severity of hypokalemia increase,622
Dataset 2,train,dataset2_train_024,the central nervous system depressant ( CNS depressant ) activities increase,9120
Dataset 2,train,dataset2_train_025,the sedative activities increase,434
Dataset 2,train,dataset2_train_026,the serotonergic activities increase,497
Dataset 2,train,dataset2_train_027,The risk or severity of serotonin syndrome increase,1397
Dataset 2,train,dataset2_train_028,The risk or severity of sedation increase,493
Dataset 2,train,dataset2_train_029,The risk or severity of hypoglycemia increase,2224
Dataset 2,train,dataset2_train_030,The risk or severity of QTc prolongation increase,16229
Dataset 2,train,dataset2_train_031,The risk or severity of gastrointestinal bleeding increase,708
Dataset 2,train,dataset2_train_032,The risk or severity of hypotension increase,1178
Dataset 2,train,dataset2_train_033,the hypotensive activities increase,3555
Dataset 2,train,dataset2_train_034,The risk or severity of renal failure hyperkalemia and hypertension increase,656
Dataset 2,train,dataset2_train_035,the orthostatic hypotensive activities increase,821
Dataset 2,train,dataset2_train_036,the neuromuscular blocking activities increase,595
Dataset 2,train,dataset2_train_037,the bradycardic activities increase,1726
Dataset 2,train,dataset2_train_038,The risk or severity of hyperglycemia increase,1821
Dataset 2,train,dataset2_train_039,The risk or severity of tendinopathy increase,492
Dataset 2,train,dataset2_train_040,The risk or severity of edema formation increase,316
Dataset 2,train,dataset2_train_041,the hypoglycemic activities increase,778
Dataset 2,train,dataset2_train_042,The risk or severity of Tachycardia increase,741
Dataset 2,train,dataset2_train_043,the vasoconstricting activities increase,411
Dataset 2,train,dataset2_train_044,the arrhythmogenic activities increase,3014
Dataset 2,train,dataset2_train_045,The risk or severity of bradycardia increase,1009
Dataset 2,train,dataset2_train_046,the QTcprolonging activities increase,500
Dataset 2,train,dataset2_train_047,the vasodilatory activities increase,306
Dataset 2,train,dataset2_train_048,the neuroexcitatory activities increase,522
Dataset 2,train,dataset2_train_049,The protein binding decrease,399
Dataset 2,train,dataset2_train_050,the orthostatic hypotensive hypotensive and antihypertensive activities increase,504
Dataset 2,dev,dataset2_dev_001,The risk or severity of CNS depression increase,777
Dataset 2,dev,dataset2_dev_002,the antihypertensive activities increase,655
Dataset 2,dev,dataset2_dev_003,The risk or severity of gastrointestinal irritation increase,1302
Dataset 2,dev,dataset2_dev_004,the hypoglycemic activities decrease,312
Dataset 2,dev,dataset2_dev_005,the hypertensive and vasoconstricting activities increase,454
Dataset 2,test2,dataset2_test2_001,The risk or severity of hyponatremia increase,79
Dataset 2,test2,dataset2_test2_002,an increase in the absorption resulting in an increased serum concentration and potentially a worsening of adverse effects cause,74
Dataset 2,test2,dataset2_test2_003,The risk or severity of renal failure increase,80
Dataset 2,test2,dataset2_test2_004,The risk or severity of renal failure and hypertension increase,86
Dataset 2,test2,dataset2_test2_005,the thrombogenic activities increase,92
Dataset 2,test2,dataset2_test2_006,The risk or severity of neutropenia increase,82
Dataset 2,test2,dataset2_test2_007,The risk or severity of renal failure hypotension and hyperkalemia increase,67
Dataset 2,test2,dataset2_test2_008,The risk or severity of angioedema increase,58
Dataset 2,test2,dataset2_test2_009,the neuromuscular blocking activities decrease,51
Dataset 2,test2,dataset2_test2_010,the hypokalemic activities increase,56
Dataset 2,test2,dataset2_test2_011,The risk or severity of fluid retention increase,80
Dataset 2,test2,dataset2_test2_012,The risk or severity of myopathy and weakness increase,87
Dataset 2,test2,dataset2_test2_013,The risk or severity of electrolyte imbalance increase,98
Dataset 2,test2,dataset2_test2_014,the stimulatory activities decrease,82
Dataset 2,test2,dataset2_test2_015,The risk or severity of sedation and somnolence increase,88
Dataset 2,test2,dataset2_test2_016,The risk or severity of hypertension decrease,85
Dataset 2,test2,dataset2_test2_017,The risk or severity of QTc prolongation decrease,75
Dataset 2,test2,dataset2_test2_018,The risk or severity of neutropenia and thrombocytopenia increase,85
Dataset 2,test2,dataset2_test2_019,The risk or severity of hyperthermia and oligohydrosis increase,51
Dataset 2,test2,dataset2_test2_020,The serum concentration of the active metabolites increase,58
Dataset 2,test2,dataset2_test2_021,The risk or severity of QTc prolongation and hypotension increase,64
Dataset 2,test2,dataset2_test2_022,The risk or severity of Tachycardia and drowsiness increase,84
Dataset 2,test2,dataset2_test2_023,The absorption decrease,57
Dataset 2,test2,dataset2_test2_024,the vasopressor activities increase,78
Dataset 2,test2,dataset2_test2_025,The risk or severity of hypotension and CNS depression increase,75
